0
MALAT1
GTSE1
KIF14
CKAP2
TOP2A
CENPF
CKAP2L
SGOL2
TTK
CCNF
TPX2
KIF22
KIF11
KIF2C
NIPBL
DLGAP5
KIF18A
KIFC1
GAS2L3
KIF5B
STK17B
ASPM
PNRC2
FZD2
CKAP5
NDE1
KIF20B
NEURL1B
KCTD9
HP1BP3
SHCBP1
BUB1B
BORA
DCP2
C2orf69
RAD21
TNFAIP8L1
DCAF7
CDKN2C
KBTBD2
CIT
CDC27
GPSM2
NUP50
NCAPG
BMI1
MLLT10
CENPI
KDM4A
QSER1
ARHGAP21
CTCF
MKI67P1
ERCC6L
ANP32E
CBX7
RANGAP1
SPC25
NEIL3
RALBP1
JADE2
PIF1
OSER1
ACIN1
RNF26
RASSF1
CCSAP
LBR
SOGA1
RAB5B
SFPQ
MESDC1
RP2
FNIP1
CALM2
SIRT1
NOTCH2
DESI2
RCOR1
ARID2
ZBTB5
CREBBP
USP11
CLASP1
WEE1
HSPA13
PAPD7
CENPO
FNBP4
EXPH5
CDR2
CDC20
MGEA5
ARHGAP12
FGF18
EP300
AKAP11
SUCO
NBPF17P
PATL1
KIF4B
SKA1
EGR1
MAPRE1
SRGAP2
ZNF24
ARL5B
TSPYL1
ZNF281
KIF15
RNF213
CABIN1
JADE1
MTMR12
HMBOX1
OSBP
ZNF217
ZCCHC8
ZNF404
GSK3B
STAM
COIL
TPO
ZC3H4
TLDC1
NCAPD2P1
MTHFD1L
MICU1
PIM1
PCIF1
MIEF1
MGAT2
PPP1R10
ITGB1
RNF4
TNPO2
H2AFV
ASH1L
SPRY2
JMJD1C
EP400
CHMP1B
SBNO1
MED13
HERC4
ZNF608
ADSS
NR1D2
PHACTR4
MDM4
CEP135
SERINC3
SESN3
CTR9
FAM118A
CLDN12
SKA2
FBXO5
EFR3A
LATS1
MAPK6
SF3B1
YPEL2
FAF2
TLE1
RBM27
ZBTB10
KLF9
SREBF2
PPIL1
SDPR
USP47
CBFB
PPP1R9B
ABI1
TMEM181
DIDO1
RABGGTB
ATL3
ZBED6
CBL
NCOA6
NCAPD3
LRRN1
TMEM245
NCOA3
PDS5A
PSMD7
PANK3
CBX5
PSAT1P1
CSTF3
HMGN4
DHX38
FRYL
GSE1
HES1
RNMT
KDM5A
AFF4
